Wall time,Step,Value
1634685005.2247527,20001,-160.90415954589844
1634685052.1740127,30001,-142.38653564453125
1634685096.5244942,40001,-129.02691650390625
1634685142.6123078,50001,-120.3676528930664
1634685188.0245638,60001,-104.46832275390625
1634685233.0806994,70001,-84.256103515625
1634685273.90885,80001,-63.03228759765625
1634685316.3436472,90001,-41.92232131958008
1634685361.212549,100001,-33.59331130981445
1634685402.9706771,110001,-4.670209884643555
1634685444.0803623,120001,19.765453338623047
1634685484.9817638,130001,43.917816162109375
1634685525.1511497,140001,65.99813842773438
1634685564.439613,150001,74.46415710449219
1634685607.4030807,160001,90.61233520507812
1634685646.0469487,170001,98.05775451660156
1634685687.3854902,180001,106.7853775024414
1634685729.737764,190001,106.7853775024414
1634685772.2882752,200001,106.7853775024414
1634685816.1350315,210001,106.7853775024414
1634685857.4165702,220001,106.7853775024414
1634685898.277931,230001,106.7853775024414
1634685938.8048007,240001,106.7853775024414
1634685983.3217263,250001,106.7853775024414
1634686026.6755977,260001,106.7853775024414
1634686068.1115096,270001,106.7853775024414
1634686110.623146,280001,106.7853775024414
1634686151.3332736,290001,106.7853775024414
1634686197.0166626,300001,106.7853775024414
1634686237.4568603,310001,114.78181457519531
1634686277.6459386,320001,114.78181457519531
1634686316.8394878,330001,114.78181457519531
1634686356.2300458,340001,115.74565887451172
1634686394.428915,350001,118.46560668945312
1634686431.126752,360001,118.46560668945312
1634686468.7689378,370001,118.46560668945312
1634686504.466293,380001,118.46560668945312
1634686540.8092191,390001,128.7217254638672
1634686576.7287092,400001,130.7806396484375
1634686612.4228039,410001,138.0099334716797
1634686647.6919045,420001,142.08538818359375
1634686683.2747035,430001,143.09103393554688
1634686718.8845081,440001,143.09103393554688
1634686754.825886,450001,143.09103393554688
1634686790.8453996,460001,143.09103393554688
1634686827.4178107,470001,143.09103393554688
1634686862.9487278,480001,143.09103393554688
1634686896.615581,490001,143.09103393554688
