Wall time,Step,Value
1634684966.0798151,10001,-169.64842224121094
1634685005.224637,20001,-160.90415954589844
1634685052.1737516,30001,-142.38653564453125
1634685096.5243692,40001,-129.02691650390625
1634685142.6120405,50001,-120.3676528930664
1634685188.024304,60001,-104.46832275390625
1634685233.0805888,70001,-84.256103515625
1634685273.908592,80001,-63.03228759765625
1634685316.3433826,90001,-41.92232131958008
1634685361.2124414,100001,-33.59331130981445
1634685402.9704108,110001,-4.670209884643555
1634685444.0801003,120001,19.765453338623047
1634685484.9816458,130001,43.917816162109375
1634685525.1508718,140001,65.99813842773438
1634685564.439496,150001,74.46415710449219
1634685607.402964,160001,90.61233520507812
1634685646.0468278,170001,98.05775451660156
1634685687.3852253,180001,106.7853775024414
1634685729.7376506,190001,104.59520721435547
1634685772.2880142,200001,90.22720336914062
1634685816.1347594,210001,92.33016967773438
1634685857.4164386,220001,94.54148864746094
1634685898.2776656,230001,88.67444610595703
1634685938.8044894,240001,105.46360778808594
1634685983.321618,250001,105.96241760253906
1634686026.6754425,260001,105.87460327148438
1634686068.1113722,270001,86.11662292480469
1634686110.6228268,280001,85.50540924072266
1634686151.3330112,290001,86.7288818359375
1634686197.016542,300001,93.09123992919922
1634686237.4567454,310001,114.78181457519531
1634686277.6456542,320001,108.08226013183594
1634686316.8393178,330001,110.39984130859375
1634686356.2297792,340001,115.74565887451172
1634686394.428659,350001,118.46560668945312
1634686431.1265993,360001,96.3662109375
1634686468.768682,370001,99.50959014892578
1634686504.4660027,380001,109.62699127197266
1634686540.8089633,390001,128.7217254638672
1634686576.728426,400001,130.7806396484375
1634686612.4226785,410001,138.0099334716797
1634686647.6917927,420001,142.08538818359375
1634686683.2746003,430001,143.09103393554688
1634686718.8843677,440001,141.64500427246094
1634686754.8257823,450001,121.74359130859375
1634686790.8451364,460001,124.75201416015625
1634686827.4176853,470001,130.83384704589844
1634686862.9486024,480001,111.58515930175781
1634686896.6153193,490001,120.640869140625
