Wall time,Step,Value
1634684941.5000668,20001,-194.78851318359375
1634684982.936949,30001,-186.60472106933594
1634685027.294007,40001,-176.11082458496094
1634685072.904265,50001,-148.45053100585938
1634685117.2976842,60001,-139.25625610351562
1634685161.5618098,70001,-128.63638305664062
1634685206.7222257,80001,-115.2571792602539
1634685253.6805012,90001,-91.40314483642578
1634685299.5517378,100001,-85.55416107177734
1634685343.4360387,110001,-64.26605987548828
1634685384.687649,120001,-26.509143829345703
1634685429.6016636,130001,-9.890413284301758
1634685472.8410645,140001,11.835351943969727
1634685517.984247,150001,23.92766571044922
1634685564.8792398,160001,23.92766571044922
1634685609.642116,170001,27.760658264160156
1634685655.551947,180001,33.45336151123047
1634685696.141234,190001,33.45336151123047
1634685742.7649474,200001,33.45336151123047
1634685783.9174142,210001,33.45336151123047
1634685825.2442605,220001,38.0976448059082
1634685866.324803,230001,41.0166130065918
1634685910.318616,240001,48.763023376464844
1634685947.984067,250001,78.071044921875
1634685988.5263705,260001,92.35356140136719
1634686029.8294637,270001,102.22274017333984
1634686070.7632062,280001,102.22274017333984
1634686106.8703098,290001,102.22274017333984
1634686142.7401814,300001,102.22274017333984
1634686177.9511573,310001,102.22274017333984
1634686212.5197399,320001,102.22274017333984
1634686249.4517531,330001,102.22274017333984
1634686284.2855651,340001,102.22274017333984
1634686322.505707,350001,102.22274017333984
1634686360.213336,360001,102.22274017333984
1634686395.746375,370001,102.22274017333984
1634686431.1271572,380001,102.22274017333984
1634686466.883096,390001,102.22274017333984
1634686502.5972095,400001,102.22274017333984
1634686537.7262669,410001,102.22274017333984
1634686574.406326,420001,102.22274017333984
1634686609.1553664,430001,102.22274017333984
1634686644.2564898,440001,102.22274017333984
1634686679.1223185,450001,102.22274017333984
1634686713.9874156,460001,102.22274017333984
1634686748.830012,470001,102.22274017333984
1634686783.9033592,480001,102.22274017333984
1634686818.9294684,490001,102.22274017333984
