Wall time,Step,Value
1634684981.2852948,20001,-185.1390838623047
1634685025.1578798,30001,-147.80824279785156
1634685068.5770571,40001,-133.41578674316406
1634685114.9637375,50001,-126.66791534423828
1634685162.4252932,60001,-110.4909439086914
1634685206.7928944,70001,-95.74137115478516
1634685254.4703815,80001,-69.3902587890625
1634685297.993225,90001,-62.99164962768555
1634685342.3943405,100001,-61.7475471496582
1634685390.2851334,110001,-60.576324462890625
1634685437.2786217,120001,-60.576324462890625
1634685480.8928487,130001,-45.558658599853516
1634685523.4202113,140001,-23.69061279296875
1634685566.9961753,150001,-16.75895881652832
1634685607.4199631,160001,6.952622890472412
1634685649.828266,170001,32.56956100463867
1634685691.915234,180001,47.78842544555664
1634685731.587882,190001,68.6685791015625
1634685774.021142,200001,72.68376159667969
1634685815.0617123,210001,85.11797332763672
1634685856.8952913,220001,85.72125244140625
1634685898.715258,230001,94.19121551513672
1634685938.4019892,240001,107.67984771728516
1634685984.7969818,250001,108.53189849853516
1634686029.3387432,260001,110.84230041503906
1634686071.3308501,270001,121.64622497558594
1634686111.0449102,280001,129.54254150390625
1634686149.3632505,290001,141.04737854003906
1634686191.216658,300001,142.11837768554688
1634686233.5648196,310001,147.01341247558594
1634686271.9112356,320001,147.01341247558594
1634686311.1509476,330001,147.01341247558594
1634686347.7168467,340001,147.01341247558594
1634686385.7977676,350001,147.01341247558594
1634686421.8786454,360001,147.01341247558594
1634686458.688475,370001,147.01341247558594
1634686494.52948,380001,147.01341247558594
1634686529.4159622,390001,147.01341247558594
1634686565.790264,400001,147.01341247558594
1634686603.1852496,410001,147.01341247558594
1634686641.150196,420001,154.1837921142578
1634686682.0312023,430001,156.67335510253906
1634686719.245545,440001,177.66749572753906
1634686756.570741,450001,177.66749572753906
1634686794.2813354,460001,177.66749572753906
1634686830.7238219,470001,177.66749572753906
1634686866.6311722,480001,177.66749572753906
1634686901.7782736,490001,177.66749572753906
