Wall time,Step,Value
1634684943.1081624,10001,-228.49513244628906
1634684981.2851877,20001,-185.1390838623047
1634685025.1576014,30001,-147.80824279785156
1634685068.5769327,40001,-133.41578674316406
1634685114.96348,50001,-126.66791534423828
1634685162.4251897,60001,-110.4909439086914
1634685206.7927787,70001,-95.74137115478516
1634685254.4701064,80001,-69.3902587890625
1634685297.993115,90001,-62.99164962768555
1634685342.3940845,100001,-61.7475471496582
1634685390.284987,110001,-60.576324462890625
1634685437.278496,120001,-62.36164093017578
1634685480.892725,130001,-45.558658599853516
1634685523.419943,140001,-23.69061279296875
1634685566.996072,150001,-16.75895881652832
1634685607.419859,160001,6.952622890472412
1634685649.828012,170001,32.56956100463867
1634685691.9151764,180001,47.78842544555664
1634685731.5876167,190001,68.6685791015625
1634685774.021035,200001,72.68376159667969
1634685815.0616024,210001,85.11797332763672
1634685856.8950195,220001,85.72125244140625
1634685898.71496,230001,94.19121551513672
1634685938.4018784,240001,107.67984771728516
1634685984.7968512,250001,108.53189849853516
1634686029.3384683,260001,110.84230041503906
1634686071.330733,270001,121.64622497558594
1634686111.0447319,280001,129.54254150390625
1634686149.3631444,290001,141.04737854003906
1634686191.2164094,300001,142.11837768554688
1634686233.564537,310001,147.01341247558594
1634686271.9111092,320001,140.2126922607422
1634686311.1508,330001,132.66094970703125
1634686347.7165847,340001,115.71160125732422
1634686385.7975068,350001,116.51348876953125
1634686421.8785303,360001,126.87855529785156
1634686458.688217,370001,125.84228515625
1634686494.5293758,380001,89.04493713378906
1634686529.4156964,390001,75.64971923828125
1634686565.7901537,400001,99.33007049560547
1634686603.185125,410001,133.92982482910156
1634686641.1500204,420001,154.1837921142578
1634686682.0309343,430001,156.67335510253906
1634686719.2452958,440001,177.66749572753906
1634686756.5706277,450001,148.67958068847656
1634686794.2812262,460001,148.59234619140625
1634686830.7236826,470001,171.7859649658203
1634686866.6310556,480001,155.4036407470703
1634686901.7781014,490001,140.9920196533203
