Wall time,Step,Value
1634684902.6797135,10001,-227.24285888671875
1634684941.499811,20001,-194.78851318359375
1634684982.9368317,30001,-186.60472106933594
1634685027.293678,40001,-176.11082458496094
1634685072.9041579,50001,-148.45053100585938
1634685117.297579,60001,-139.25625610351562
1634685161.5617032,70001,-128.63638305664062
1634685206.722116,80001,-115.2571792602539
1634685253.6802313,90001,-91.40314483642578
1634685299.5516295,100001,-85.55416107177734
1634685343.435932,110001,-64.26605987548828
1634685384.687386,120001,-26.509143829345703
1634685429.6015475,130001,-9.890413284301758
1634685472.8409534,140001,11.835351943969727
1634685517.98414,150001,23.92766571044922
1634685564.8791332,160001,21.57234764099121
1634685609.6419713,170001,27.760658264160156
1634685655.551826,180001,33.45336151123047
1634685696.1411195,190001,21.891294479370117
1634685742.7648177,200001,24.112890243530273
1634685783.9172955,210001,26.101619720458984
1634685825.2441182,220001,38.0976448059082
1634685866.324543,230001,41.0166130065918
1634685910.31851,240001,48.763023376464844
1634685947.983797,250001,78.071044921875
1634685988.5262384,260001,92.35356140136719
1634686029.8293557,270001,102.22274017333984
1634686070.7630305,280001,92.0715103149414
1634686106.8700247,290001,92.23126983642578
1634686142.740071,300001,88.34535217285156
1634686177.9508748,310001,73.80806732177734
1634686212.5194771,320001,66.74279022216797
1634686249.4516406,330001,72.24562072753906
1634686284.285461,340001,72.52448272705078
1634686322.5055969,350001,70.73286437988281
1634686360.2132266,360001,75.98075866699219
1634686395.7461157,370001,73.2133560180664
1634686431.126897,380001,29.996875762939453
1634686466.882835,390001,27.335416793823242
1634686502.5970764,400001,2.9573099613189697
1634686537.725988,410001,13.453652381896973
1634686574.4060354,420001,-24.701637268066406
1634686609.155249,430001,-77.21517944335938
1634686644.2562273,440001,-93.1695556640625
1634686679.1222,450001,-66.74697875976562
1634686713.9871438,460001,-133.3642578125
1634686748.8297582,470001,-152.5572967529297
1634686783.9032536,480001,-130.22088623046875
1634686818.9293435,490001,-75.8066635131836
