Wall time,Step,Value
1634684953.9466197,10001,-238.3163299560547
1634684991.1412675,20001,-194.0398712158203
1634685035.6417854,30001,-177.46835327148438
1634685080.124208,40001,-168.5716094970703
1634685123.672101,50001,-153.91043090820312
1634685168.5132692,60001,-137.8326416015625
1634685214.4425223,70001,-122.3851547241211
1634685259.2944753,80001,-89.13400268554688
1634685304.063427,90001,-67.57833862304688
1634685349.4810982,100001,-62.470951080322266
1634685392.0993643,110001,-38.46637725830078
1634685434.652913,120001,-16.90062713623047
1634685477.0326235,130001,11.035124778747559
1634685520.920737,140001,28.03014373779297
1634685562.196496,150001,46.103057861328125
1634685604.2377393,160001,55.7496337890625
1634685647.8809156,170001,70.86600494384766
1634685690.5133302,180001,77.03221130371094
1634685733.3668125,190001,90.55839538574219
1634685772.8154256,200001,106.9852523803711
1634685812.6455567,210001,122.32710266113281
1634685852.5002408,220001,127.31288146972656
1634685894.2094514,230001,128.7015380859375
1634685933.444664,240001,131.0574951171875
1634685971.3002915,250001,130.46678161621094
1634686009.679617,260001,128.20269775390625
1634686047.4768167,270001,128.20127868652344
1634686084.463516,280001,130.1201171875
1634686123.2044053,290001,136.99990844726562
1634686159.3501716,300001,117.55374145507812
1634686195.5521028,310001,119.94471740722656
1634686232.0827181,320001,133.92539978027344
1634686268.4303157,330001,134.79400634765625
1634686304.0283558,340001,116.10486602783203
1634686338.9914262,350001,117.68629455566406
1634686376.008556,360001,125.92469024658203
1634686412.1653233,370001,142.20091247558594
1634686448.128596,380001,155.8290252685547
1634686485.2862644,390001,153.78492736816406
1634686525.3976371,400001,166.3036346435547
1634686562.010633,410001,174.82920837402344
1634686599.3860328,420001,169.1693115234375
1634686635.4777572,430001,149.67666625976562
1634686671.9734726,440001,155.9184112548828
1634686707.764875,450001,156.17686462402344
1634686743.3640208,460001,154.24185180664062
1634686779.7803745,470001,142.18374633789062
1634686815.925526,480001,141.346923828125
1634686851.594826,490001,153.00294494628906
