Wall time,Step,Value
1634772110.5685008,10001,-227.96859741210938
1634772139.8467727,20001,-188.2955322265625
1634772177.1765358,30001,-177.70066833496094
1634772217.3017373,40001,-160.5671844482422
1634772256.660743,50001,-161.38824462890625
1634772297.92494,60001,-153.3021697998047
1634772338.3818963,70001,-152.45889282226562
1634772377.9629557,80001,-134.96340942382812
1634772416.291821,90001,-117.81299591064453
1634772455.7485921,100001,-97.08382415771484
1634772496.2227101,110001,-86.28285217285156
1634772536.3767805,120001,-67.18250274658203
1634772574.2587075,130001,-47.3212890625
1634772610.4676752,140001,-15.315592765808105
1634772647.4630108,150001,-10.07361125946045
1634772687.5208237,160001,-3.212686777114868
1634772724.2682517,170001,26.612918853759766
1634772762.4049656,180001,43.72688293457031
1634772799.7312887,190001,51.25988006591797
1634772835.8711488,200001,51.89521026611328
1634772870.94344,210001,64.74968719482422
1634772906.2076778,220001,69.74024963378906
1634772939.1281369,230001,77.5718994140625
1634772972.068237,240001,75.83969116210938
1634773007.060217,250001,93.72674560546875
1634773042.0509672,260001,92.44963836669922
1634773074.8807266,270001,82.36724090576172
1634773110.042961,280001,78.52938079833984
1634773147.3780046,290001,86.18769073486328
1634773185.8332908,300001,96.17764282226562
1634773230.1477516,310001,90.86613464355469
1634773266.7219682,320001,90.94206237792969
1634773307.2948108,330001,74.49567413330078
1634773348.7173924,340001,59.15377426147461
1634773386.4480104,350001,49.392887115478516
1634773424.1851778,360001,44.206111907958984
1634773461.028203,370001,53.28899383544922
1634773502.8043866,380001,48.82271194458008
1634773539.7699873,390001,34.28947067260742
1634773577.8697083,400001,0.16118021309375763
1634773613.128853,410001,-42.703636169433594
1634773647.2256336,420001,-92.54557800292969
1634773678.3740404,430001,-158.41204833984375
1634773710.008038,440001,-194.5990753173828
1634773740.6017158,450001,-270.1338806152344
1634773770.3547325,460001,-286.0821838378906
1634773800.280646,470001,-269.52874755859375
1634773829.9326334,480001,-228.16552734375
1634773859.1558,490001,-240.1825408935547
